Instance name,FSTSP obj.,RV-MVD-FSTSP obj.,Time(s),Improvement(%)
37v5,51.78,45.86,3601.4,11.42
40v12,62,56.53,8.7,8.82
43v2,72.15,72.15,8.5,0.00
43v11,57.38,49.92,75.7,13.00
37v11,42.9,37.68,1129.4,12.17
37v3,54.66,54.66,175.2,-0.01
37v4,67.46,67.46,92.4,-0.01
37v7,49.58,49.16,3600.7,0.84
40v9,42.53,35.68,6.3,16.11
43v10,47.93,40.21,578.1,16.11
43v6,59.09,59.09,2211.3,0.01
40v3,57.1,57.10,322.2,0.00
37v1,57.45,54.59,175.6,4.98
43v12,69.2,61.58,32.0,11.02
43v1,69.59,69.59,8.9,0.01
37v8,62.38,62.38,3600.0,0.00
43v3,77.34,77.34,6.5,-0.01
40v7,49.9,48.09,387.7,3.62
43v9,46.93,36.05,480.7,23.18
40v5,45.46,42.58,2301.1,6.33
37v9,43.48,32.52,1063.4,25.20
40v4,69.9,69.90,211.6,0.00
40v2,51.71,51.71,406.5,0.00
40v6,44.51,41.96,658.6,5.72
40v1,49.43,48.32,428.6,2.24
40v8,62.7,61.78,894.4,1.46
37v10,41.91,33.36,1754.4,20.39
43v4,90.14,90.14,15.2,0.00
37v6,48.6,44.23,3601.0,9.00
37v2,53.79,53.79,93.3,-0.01
40v11,49.2,43.73,5.8,11.12
37v12,56.85,53.26,3138.2,6.31
43v8,84.81,83.14,429.8,1.97
40v10,43.08,37.01,9.5,14.10
43v5,58.71,58.71,3600.9,0.00
43v7,65.52,65.33,369.8,0.30
