Instance name,revi_mvd,rec,none,none,revi_only
v68,291.675,291.675,106.127,0,264.252
v74,266.866,266.866,137.406,0,275.702
v94,291.488,291.488,84.467,0,245.238
v35,249.37,249.37,371.904,0,222.094
v45,264.694,264.694,64.337,0,252.229
v44,281.237,281.237,7.191,0,264.911
v25,314.906,314.906,1.133,0,253.281
v91,174.089,174.089,13.115,0,278.067
v34,286.155,286.155,109.628,0,252.805
v9,303.993,303.993,1.92,0,260.308
v15,275.328,275.328,3.801,0,275.674
v72,314.597,314.597,2.63,0,241.457
v56,309.329,309.329,88.196,0,276.919
v37,310.794,310.794,50.915,0,257.131
v10,273.434,273.434,1.188,0,289.566
v98,270.686,270.686,131.481,0,251.688
v51,286.137,286.137,1.205,0,290.621
v50,316.169,316.169,1.185,0,269.707
v61,288.079,288.079,1.128,0,304.793
v75,306.049,306.049,3.223,0,295.891
v52,299.895,299.895,4.123,0,240.913
v100,258.226,258.226,4.651,0,302.718
v2,271.187,271.187,6.531,0,256
v82,301.179,301.179,91.709,0,266.967
v66,272.184,272.184,3.723,0,284.873
v47,291.925,291.925,1.114,0,234.083
v76,255.501,255.501,58.605,0,241.737
v12,255.141,255.141,176.537,0,290.674
v36,294.6,294.6,2.157,0,272.915
v92,307.347,307.347,7.824,0,249.195
v11,298.01,298.01,57.598,0,239.941
v43,294.827,294.827,2.717,0,290.89
v95,292.634,292.634,7.433,0,244.675
v83,286.129,286.129,6.029,0,276.922
v38,229.195,229.195,1.215,0,290.978
v48,291.238,291.238,1.126,0,274.603
v1,224.988,224.988,5.407,0,269.593
v85,299.382,299.382,3.399,0,268.519
v28,270.553,270.553,3.321,0,270.173
v77,270.265,270.265,1.328,0,261.566
v17,246.335,246.335,47.415,0,292.789
v30,308.107,308.107,2.642,0,251.932
v99,275.303,275.303,3.298,0,249.648
v33,256.303,256.303,2.366,0,257.498
v14,290.115,290.115,1.145,0,220.936
v70,284.261,284.261,5.28,0,276.614
v84,232.335,232.335,8.274,0,283.352
v79,311.124,311.124,2.602,0,279.16
v49,276.231,276.231,7.606,0,234.636
v41,302.506,302.506,1.167,0,240.072
v29,241.768,241.768,142.495,0,220.18
v39,300.248,300.248,2.997,0,224.757
v55,254.789,254.789,61.04,0,284.15
v59,266.13,266.13,1.197,0,284.213
v6,274.182,274.182,128.157,0,220.293
v4,277.375,277.375,1.154,0,228.397
v13,273.084,273.084,2.448,0,273.088
v7,205.162,205.162,21.955,0,270.204
v23,257.815,257.815,7.301,0,254.704
v58,304.88,304.88,1.217,0,227.343
v54,297.625,297.625,2.063,0,215.528
v81,281.359,281.359,117.949,0,236.013
v93,263.167,263.167,161.056,0,234.68
v63,252.604,252.604,128.176,0,278.988
v8,224.651,224.651,6.095,0,294.137
v42,264.451,264.451,3.218,0,237.939
v65,249.813,249.813,3.388,0,262.465
v90,263.635,263.635,2.164,0,244.947
v53,298.64,298.64,2.815,0,229.493
v18,254.611,254.611,1.196,0,291.707
v69,270.303,270.303,1.189,0,278.387
v22,279.043,279.043,1.29,0,223.082
v67,279.047,279.047,1.109,0,282.933
v26,275.027,275.027,108.541,0,272.297
v16,285.59,285.59,1.216,0,287.005
v5,242.347,242.347,6.418,0,281.635
v80,300.031,300.031,76.369,0,229.749
v88,290.627,290.627,2.71,0,274.124
v60,270.422,270.422,1.223,0,275.988
v71,249.266,249.266,1.186,0,269.348
v31,245.631,245.631,1.236,0,222.2
v19,287.485,287.485,28.935,0,263.125
v89,287.231,287.231,1.167,0,282.454
v3,239.314,239.314,1.164,0,261.941
v78,291.936,291.936,1.337,0,245.457
v62,281.826,281.826,2.188,0,282.759
v46,288.547,288.547,97.571,0,292.494
v20,303.931,303.931,3.846,0,251.471
v64,270.47,270.47,6.765,0,233.57
v57,288.838,288.838,94.56,0,254.264
v86,255.899,255.899,103.746,0,275.972
v96,265.489,265.489,7.563,0,289.29
v32,279.886,279.886,1.218,0,217.151
v40,316.252,316.252,5.83,0,236.098
v24,246.465,246.465,97.696,0,280.105
v21,283.107,283.107,1.257,0,188.879
v73,321.337,321.337,125.984,0,294.259
v27,264.383,264.383,3.577,0,252.099
v87,274.847,274.847,2.164,0,286.552
v97,261.156,261.156,1.153,0,244.395
