Instance,Objective,Lower Bound,Gap(%),Solve Time(s),Truck Served,Drone Served,Jetsuite Served
uniform-51-n10-maxradius-20,279.287,279.287,0,2.696,4,1,3
uniform-51-n10-maxradius-40,273.621,273.621,0,4.596,4,1,3
uniform-51-n10-maxradius-60,250.558,250.558,0,5.965,3,2,3
uniform-51-n10-maxradius-100,246.144,246.144,0,6.591,3,2,3
uniform-51-n10-maxradius-150,246.144,246.144,0,7.322,3,2,3
uniform-51-n10-maxradius-200,246.144,246.144,0,7.802,3,2,3
uniform-52-n10-maxradius-20,214.159,214.159,0,1.823,4,0,4
uniform-52-n10-maxradius-40,190.371,190.371,0,1.995,3,1,4
uniform-52-n10-maxradius-60,179.008,179.008,0,3.038,3,2,3
uniform-52-n10-maxradius-100,169.445,169.445,0,3.021,3,2,3
uniform-52-n10-maxradius-150,169.445,169.445,0,2.731,3,2,3
uniform-52-n10-maxradius-200,169.445,169.445,0,3.152,3,2,3
uniform-53-n10-maxradius-20,157.047,157.047,0,0.507,3,1,4
uniform-53-n10-maxradius-40,134.759,134.759,0,0.645,3,2,3
uniform-53-n10-maxradius-60,134.759,134.759,0,1.261,3,2,3
uniform-53-n10-maxradius-100,132.885,132.885,0,3.341,3,1,4
uniform-53-n10-maxradius-150,132.885,132.885,0,1.213,3,1,4
uniform-53-n10-maxradius-200,130.235,130.235,0,1.315,3,2,3
uniform-54-n10-maxradius-20,237.452,237.452,0,1.557,3,1,4
uniform-54-n10-maxradius-40,205.452,205.452,0,0.991,3,1,4
uniform-54-n10-maxradius-60,181.44,181.44,0,2.153,3,2,3
uniform-54-n10-maxradius-100,180.688,180.688,0,2.056,3,2,3
uniform-54-n10-maxradius-150,180.688,180.688,0,2.8,3,2,3
uniform-54-n10-maxradius-200,180.688,180.688,0,2.287,3,2,3
uniform-55-n10-maxradius-20,284.735,284.735,0,1.849,4,0,4
uniform-55-n10-maxradius-40,268.69,268.69,0,2.641,3,2,3
uniform-55-n10-maxradius-60,254.878,254.878,0,3.732,3,2,3
uniform-55-n10-maxradius-100,238.058,238.058,0,4.368,3,2,3
uniform-55-n10-maxradius-150,238.058,238.058,0,3.785,3,2,3
uniform-55-n10-maxradius-200,238.058,238.058,0,3.808,3,2,3
uniform-56-n10-maxradius-20,249.101,249.101,0,2.672,4,0,4
uniform-56-n10-maxradius-40,223.127,223.122,0,2.915,3,1,4
uniform-56-n10-maxradius-60,207.491,207.491,0,4.539,3,2,3
uniform-56-n10-maxradius-100,206.018,206.018,0,3.751,3,2,3
