Instance,Objective,Lower Bound,Gap(%),Solve Time(s),Truck Served,Drone Served,Jetsuite Served
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-51-n10-maxradius-20.txt,300.042,300.042,0,0.279,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-51-n10-maxradius-40.txt,300.042,300.042,0,0.762,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-51-n10-maxradius-60.txt,291.817,291.817,0,1.968,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-51-n10-maxradius-100.txt,287.226,287.225,0,41.36,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-51-n10-maxradius-150.txt,251.687,251.664,0.01,46.729,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-51-n10-maxradius-200.txt,250.726,250.708,0.01,41.898,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-52-n10-maxradius-20.txt,303.759,303.759,0,0.156,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-52-n10-maxradius-40.txt,288.059,288.032,0.01,1.773,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-52-n10-maxradius-60.txt,285.65,285.65,0,27.762,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-52-n10-maxradius-100.txt,193.909,193.909,0,8.084,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-52-n10-maxradius-150.txt,189.547,189.534,0.01,100.578,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-52-n10-maxradius-200.txt,189.547,189.528,0.01,23.451,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-53-n10-maxradius-20.txt,284.656,284.656,0,0.126,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-53-n10-maxradius-40.txt,282.797,282.797,0,0.775,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-53-n10-maxradius-60.txt,280.173,280.173,0,1.526,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-53-n10-maxradius-100.txt,233.662,233.639,0.01,31.501,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-53-n10-maxradius-150.txt,194.249,194.23,0.01,153.073,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-53-n10-maxradius-200.txt,192.156,192.137,0.01,176.58,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-54-n10-maxradius-20.txt,311.087,311.087,0,0.114,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-54-n10-maxradius-40.txt,311.087,311.087,0,0.748,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-54-n10-maxradius-60.txt,279.863,279.863,0,19.359,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-54-n10-maxradius-100.txt,233.348,233.348,0,49.254,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-54-n10-maxradius-150.txt,224.871,224.854,0.01,56.976,5,4,
