Instance,Objective,Lower Bound,Gap(%),Solve Time(s),Truck Served,Drone Served,Jetsuite Served
uniform-51-n10-maxradius-20,291.445,291.445,0,1.7,6,2,1
uniform-51-n10-maxradius-40,274.456,274.431,0.01,35.335,3,3,3
uniform-51-n10-maxradius-60,251.687,251.687,0,48.186,5,4,0
uniform-51-n10-maxradius-100,227.86,227.859,0,19.699,2,5,2
uniform-51-n10-maxradius-150,227.86,227.86,0,18.321,2,5,2
uniform-51-n10-maxradius-200,227.86,227.86,0,21.46,2,5,2
uniform-52-n10-maxradius-20,225.593,225.582,0,2.549,3,3,3
uniform-52-n10-maxradius-40,178.213,178.209,0,5.267,1,4,4
uniform-52-n10-maxradius-60,161.342,161.329,0.01,8.804,1,5,3
uniform-52-n10-maxradius-100,161.342,161.329,0.01,16.783,1,5,3
uniform-52-n10-maxradius-150,161.342,161.342,0,7.282,1,5,3
uniform-52-n10-maxradius-200,161.342,161.342,0,15.131,1,5,3
uniform-53-n10-maxradius-20,228.996,228.996,0,2.27,5,2,2
uniform-53-n10-maxradius-40,111.561,111.561,0,3.327,1,4,4
uniform-53-n10-maxradius-60,111.561,111.561,0,6.831,1,4,4
uniform-53-n10-maxradius-100,111.561,111.558,0,7.203,1,4,4
uniform-53-n10-maxradius-150,111.561,111.55,0.01,15.918,1,4,4
uniform-53-n10-maxradius-200,111.561,111.561,0,13.384,1,4,4
uniform-54-n10-maxradius-20,257.365,257.365,0,1.014,3,3,3
uniform-54-n10-maxradius-40,253.578,253.564,0.01,34.594,4,3,2
uniform-54-n10-maxradius-60,214.67,214.67,0,37.511,2,4,3
uniform-54-n10-maxradius-100,187.266,187.257,0,21.818,3,4,2
uniform-54-n10-maxradius-150,187.266,187.266,0,26.405,3,4,2
uniform-54-n10-maxradius-200,187.266,187.255,0.01,15.084,3,4,2
uniform-55-n10-maxradius-20,305.874,305.874,0,1.195,5,2,2
uniform-55-n10-maxradius-40,278.159,278.159,0,16.804,3,3,3
uniform-55-n10-maxradius-60,244.464,244.448,0.01,11.12,1,4,4
uniform-55-n10-maxradius-100,237.829,237.816,0.01,24.374,1,5,3
uniform-55-n10-maxradius-150,237.829,237.815,0.01,25.712,1,5,3
uniform-55-n10-maxradius-200,237.829,237.829,0,15.021,1,5,3
uniform-56-n10-maxradius-20,307.292,307.292,0,0.497,7,1,1
uniform-56-n10-maxradius-40,232.757,232.757,0,21.23,2,4,3
uniform-56-n10-maxradius-60,212.729,212.729,0,24.928,1,5,3
uniform-56-n10-maxradius-100,207.571,207.57,0,18.05,3,4,2
uniform-56-n10-maxradius-150,207.571,207.555,0.01,22.623,3,4,2
uniform-56-n10-maxradius-200,207.571,207.57,0,22.872,3,4,2
uniform-57-n10-maxradius-20,209.06,209.052,0,4.01,3,3,3
uniform-57-n10-maxradius-40,205.393,205.381,0.01,29.515,3,4,2
uniform-57-n10-maxradius-60,160.782,160.782,0,8.662,1,4,4
uniform-57-n10-maxradius-100,154.462,154.462,0,22.682,1,4,4
uniform-57-n10-maxradius-150,154.462,154.462,0,20.679,1,4,4
uniform-57-n10-maxradius-200,154.462,154.462,0,22.406,1,4,4
uniform-58-n10-maxradius-20,273.998,273.998,0,3.432,6,2,1
uniform-58-n10-maxradius-40,225.579,225.576,0,30.142,3,4,2
uniform-58-n10-maxradius-60,199.99,199.99,0,23.472,1,5,3
uniform-58-n10-maxradius-100,199.99,199.985,0,16.5,1,5,3
uniform-58-n10-maxradius-150,199.99,199.985,0,32.889,1,5,3
uniform-58-n10-maxradius-200,199.99,199.99,0,23.173,1,5,3
uniform-59-n10-maxradius-20,226.601,226.601,0,3.008,3,3,3
uniform-59-n10-maxradius-40,212.923,212.92,0,17.308,4,3,2
uniform-59-n10-maxradius-60,186.666,186.666,0,6.9,1,4,4
uniform-59-n10-maxradius-100,186.666,186.648,0.01,25.127,1,4,4
uniform-59-n10-maxradius-150,186.666,186.661,0,25.559,1,4,4
uniform-59-n10-maxradius-200,186.666,186.662,0,19.252,1,4,4
uniform-60-n10-maxradius-20,265.538,265.538,0,2.031,5,2,2
uniform-60-n10-maxradius-40,237.363,237.363,0,8.592,2,4,3
uniform-60-n10-maxradius-60,213.65,213.65,0,11.453,3,5,1
uniform-60-n10-maxradius-100,209.374,209.374,0,23.114,2,5,2
uniform-60-n10-maxradius-150,209.374,209.374,0,23.906,2,5,2
uniform-60-n10-maxradius-200,209.374,209.374,0,16.942,2,5,2
uniform-alpha_1-51-n10-maxradius-20,301.184,301.184,0,0.762,9,0,0
uniform-alpha_1-51-n10-maxradius-40,301.184,301.157,0.01,2.126,8,1,0
uniform-alpha_1-51-n10-maxradius-60,301.184,301.156,0.01,3.623,7,2,0
uniform-alpha_1-51-n10-maxradius-100,288.209,288.193,0.01,49.28,6,3,0
uniform-alpha_1-51-n10-maxradius-150,284.812,284.786,0.01,64.651,7,2,0
uniform-alpha_1-51-n10-maxradius-200,282.778,282.756,0.01,58.371,7,2,0
uniform-alpha_1-52-n10-maxradius-20,251.927,251.927,0,0.362,7,1,1
uniform-alpha_1-52-n10-maxradius-40,235.871,235.871,0,2.049,5,2,2
uniform-alpha_1-52-n10-maxradius-60,235.871,235.854,0.01,19.947,5,2,2
uniform-alpha_1-52-n10-maxradius-100,231.006,231.006,0,143.633,5,3,1
uniform-alpha_1-52-n10-maxradius-150,220.649,220.632,0.01,41.989,4,3,2
uniform-alpha_1-52-n10-maxradius-200,220.649,220.644,0,53.517,4,3,2
uniform-alpha_1-53-n10-maxradius-20,265.612,265.612,0,0.635,7,1,1
uniform-alpha_1-53-n10-maxradius-40,211.617,211.617,0,2.514,3,3,3
