Pos,Truck Node,Truck Time,Drone Time,Drone Node,Jetsuite Time,Jetsuite Node
0,0,0,0,8,,
1,19,49.9046,49.9046,12,,
2,19,64.7706,64.7706,6,,
3,19,76.1724,76.1724,16,,
4,18,107.421,107.421,15,,
5,18,112.421,112.421,7,,
6,18,127.946,127.946,3,,
7,18,149.877,149.877,14,,
8,18,155.262,155.262,13,,
9,5,200.716,200.716,4,,
10,20,234.176,234.176,4,,

Objective/Upper bound,234.176
Lower bound,121.838
Gap,49.04%
Solving time (s),3600.07
Truck served,3
Drone served,10
Jetsuite served,0

Current config:
Number of threads,-1
Drone endurance,9999
SL,0
SR,0
Allow loop,1
Allow revisit,1
